CAR NAME,BRAND,LOCATION,PRICE (INR),FUEL TYPE,TRANSMISSION,KM DRIVEN,MANUFACTURE YEAR
2023 Kia SeltosHTX Diesel iMT,Kia,Rajasthan,1466000,Diesel,Automatic,42604,2023
2023 Hyundai ExterSX Opt Connect AMT,Hyundai,Rajasthan,850000,Petrol,Automatic,26565,2023
2024 Toyota TaisorV Turbo,Toyota,Rajasthan,1200000,Petrol,Manual,10000,2024
2023 Maruti Alto K10VXI Plus,Maruti,Rajasthan,492000,Petrol,Manual,28213,2023
2023 Maruti FRONXDelta,Maruti,Rajasthan,834000,Petrol,Manual,13047,2023
2024 Maruti FRONXZeta Turbo,Maruti,Rajasthan,1003999,Petrol,Manual,10365,2024
2016 Mahindra XUV500W6 1.99 mHawk,Mahindra,Rajasthan,600000,Diesel,Manual,120000,2016
2025 Tata PunchCreative BSVI,Tata,Rajasthan,700000,Petrol,Manual,44000,2025
2020 Maruti Vitara BrezzaLXI,Maruti,Rajasthan,675000,Petrol,Manual,55000,2020
2020 Kia SonetHTX Turbo iMT BSVI,Kia,Rajasthan,780000,Petrol,Manual,24266,2020
2024 Volkswagen VirtusHighline,Volkswagen,Rajasthan,1200000,Petrol,Manual,3400,2024
2021 Volkswagen Polo1.0 TSI Comfortline,Volkswagen,Rajasthan,683000,Petrol,Manual,36827,2021
2017 Hyundai i20Sportz 1.2,Hyundai,Rajasthan,420000,Petrol,Manual,52000,2017
2023 Maruti Alto 800VXI,Maruti,Rajasthan,436000,Petrol,Manual,20903,2023
2019 Hyundai Creta1.6 SX Automatic,Hyundai,Rajasthan,1150000,Petrol,Automatic,50000,2019
2014 Hyundai Grand i101.2 Kappa Asta,Hyundai,Rajasthan,401000,Petrol,Manual,56647,2014
2024 BMW X5xDrive40i M Sport,BMW,Rajasthan,10300000,Petrol,Automatic,5500,2024
2023 Kia SonetHTX Turbo DCT,Kia,Rajasthan,1119000,Petrol,Automatic,11712,2023
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar, Madhya Pradesh,7000000,Diesel,Automatic,30000,2024
2022 Nissan MagniteXV BSVI,Nissan, Madhya Pradesh,552000,Petrol,Manual,10644,2022
2021 Kia SonetHTX Turbo iMT BSVI,Kia, Madhya Pradesh,708000,Petrol,Manual,59318,2021
2024 Renault KigerRXL,Renault, Madhya Pradesh,600000,Petrol,Manual,5180,2024
2024 MG AstorSelect CVT,MG, Madhya Pradesh,1400000,Petrol,Automatic,10000,2024
2023 Mahindra Bolero NeoN8,Mahindra, Madhya Pradesh,919999,Diesel,Manual,4900,2023
2022 Kia SeltosHTK Plus G,Kia, Madhya Pradesh,1118000,Petrol,Manual,13890,2022
2023 Hyundai ExterS AMT,Hyundai, Madhya Pradesh,850000,Petrol,Automatic,12493,2023
2024 Kia SeltosHTX Diesel AT,Kia, Madhya Pradesh,1650000,Diesel,Automatic,30000,2024
2024 Toyota TaisorG Turbo,Toyota, Madhya Pradesh,831000,Petrol,Manual,19113,2024
2023 Renault KigerRXZ,Renault, Madhya Pradesh,727000,Petrol,Manual,17328,2023
2024 Kia SeltosGTX Plus Diesel AT,Kia, Madhya Pradesh,1950000,Diesel,Automatic,28000,2024
2024 Kia SonetHTK Plus,Kia, Madhya Pradesh,1025000,Petrol,Manual,10000,2024
2024 Tata PunchAdventure,Tata, Madhya Pradesh,697000,Petrol,Manual,11645,2024
2022 Kia SonetHTX Turbo iMT Anniversary Edition,Kia, Madhya Pradesh,909000,Petrol,Automatic,42183,2022
2023 Maruti Alto K10VXI,Maruti, Madhya Pradesh,430000,Petrol,Manual,6200,2023
2023 Audi Q3Premium Plus BSVI,Audi, Madhya Pradesh,3800000,Petrol,Automatic,18000,2023
2024 BMW XMxDrive,BMW, Madhya Pradesh,21000000,Petrol,Automatic,13734,2024
2023 Maruti Alto K10VXI,Maruti, Madhya Pradesh,404000,Petrol,Manual,11436,2023
2024 Honda AmazeVX CVT,Honda, Madhya Pradesh,850000,Petrol,Automatic,35413,2024
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,Tamil Nadu,7000000,Diesel,Automatic,30000,2024
2022 Nissan MagniteXV BSVI,Nissan,Tamil Nadu,552000,Petrol,Manual,10644,2022
2021 Kia SonetHTX Turbo iMT BSVI,Kia,Tamil Nadu,708000,Petrol,Manual,59318,2021
