Car Name,Brand,Location,Price (INR),Fuel Type,Transmission,Km Driven,Manufacture Year
2022 Volkswagen Taigun1.0 TSI Topline AT BSVI,Volkswagen,Madhya Pradesh,1200000,Petrol,Automatic,10000,2022
2022 Renault KigerRXZ AMT,Renault,Madhya Pradesh,599000,Petrol,Automatic,45959,2022
2024 Kia SonetHTK Plus Diesel,Kia,Madhya Pradesh,1080000,Diesel,Manual,17735,2024
2024 Toyota TaisorG Turbo,Toyota,Madhya Pradesh,831000,Petrol,Manual,19113,2024
2023 Audi Q3Premium Plus BSVI,Audi,Madhya Pradesh,3800000,Petrol,Automatic,18000,2023
2022 Tata PunchAdventure,Tata,Delhi,590000,Petrol,Manual,55000,2022
2023 Hyundai VenueS Opt BSVI,Hyundai,Madhya Pradesh,799000,Petrol,Manual,13000,2023
2023 Renault KWID1.0 CLIMBER AMT,Renault,Madhya Pradesh,550000,Petrol,Automatic,12048,2023
2022 Land Rover Defender2.0 110 HSE,Land,Tamil Nadu,9800000,Petrol,Automatic,4600,2022
2023 Maruti FRONXSigma,Maruti,Tamil Nadu,690000,Petrol,Manual,32000,2023
2024 Maruti BrezzaLxi,Maruti,Tamil Nadu,900000,Petrol,Manual,10500,2024
2025 Maruti FRONXDelta,Maruti,Tamil Nadu,895000,Petrol,Manual,1100,2025
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,Tamil Nadu,7000000,Diesel,Automatic,30000,2024
2023 Citroen C5 AircrossShine Dual Tone,Citroen,Tamil Nadu,849000,Diesel,Automatic,17944,2023
2022 Maruti BalenoSigma,Maruti,Tamil Nadu,575000,Petrol,Manual,5000,2022
2024 Land Rover Defender2.0 l Petrol 110 X-Dynamic HSE,Land,Delhi,11800000,Petrol,Automatic,7900,2024
2024 Land Rover Defender2.0 110 HSE,Land,Delhi,8400000,Petrol,Automatic,8000,2024
2024 BMW XMxDrive,BMW,Tamil Nadu,21000000,Petrol,Automatic,13734,2024
2023 BMW 3 Series Long Wheelbase320Ld M Sport GL,BMW,Tamil Nadu,6500000,Diesel,Automatic,1800,2023
2023 Hyundai ExterS AMT,Hyundai,Tamil Nadu,835000,Petrol,Automatic,12493,2023
2022 Volkswagen Taigun1.0 TSI Topline AT BSVI,Volkswagen,Tamil Nadu,1200000,Petrol,Automatic,10000,2022
2022 Renault KigerRXZ AMT,Renault,Tamil Nadu,599000,Petrol,Automatic,45959,2022
2024 Kia SonetHTK Plus Diesel,Kia,Tamil Nadu,1080000,Diesel,Manual,17735,2024
2024 Toyota TaisorG Turbo,Toyota,Tamil Nadu,831000,Petrol,Manual,19113,2024
2023 Audi Q3Premium Plus BSVI,Audi,Tamil Nadu,3800000,Petrol,Automatic,18000,2023
2022 Tata PunchAdventure,Tata,Delhi,590000,Petrol,Manual,55000,2022
2023 Hyundai VenueS Opt BSVI,Hyundai,Tamil Nadu,799000,Petrol,Manual,13000,2023
2023 Renault KWID1.0 CLIMBER AMT,Renault,Tamil Nadu,550000,Petrol,Automatic,12048,2023
2011 Maruti Swift DzireVXi,Maruti,Haryana,150000,Petrol,Manual,20000,2011
2024 Maruti BrezzaLxi,Maruti,Haryana,900000,Petrol,Manual,10500,2024
2024 Kia SeltosGTX Plus Diesel AT,Kia,Haryana,1950000,Diesel,Automatic,28000,2024
2022 Kia CarensLuxury Plus Diesel AT 6 STR BSVI,Kia,Delhi,1395000,Diesel,Automatic,25000,2022
2024 MG HectorSharp Pro,MG,Haryana,1750000,Petrol,Manual,13500,2024
2020 Kia SeltosHTK Diesel,Kia,Haryana,950000,Diesel,Manual,51000,2020
2020 Hyundai Creta1.6 VTVT AT SX Plus,Hyundai,Haryana,1098000,Petrol,Automatic,28897,2020
2021 Maruti Wagon RCNG LXI,Maruti,Haryana,525000,Cng,Manual,55795,2021
2022 Kia SeltosHTK Plus D,Kia,Haryana,1375000,Diesel,Manual,40000,2022
2017 Maruti ErtigaBSIV VXI,Maruti,Haryana,625000,Petrol,Manual,62000,2017
2021 Nissan MagniteTurbo CVT XV Premium BSVI,Nissan,Haryana,696000,Petrol,Automatic,42025,2021
2016 Hyundai Creta1.6 VTVT SX Plus,Hyundai,Haryana,599000,Petrol,Manual,43000,2016
2017 Hyundai Creta1.6 VTVT AT SX Plus,Hyundai,Haryana,778000,Petrol,Automatic,25000,2017
2024 Mahindra XUV 3XOAX5 AT,Mahindra,Haryana,1299000,Petrol,Automatic,15500,2024
2023 Kia SeltosGTX Plus,Kia,Haryana,1558000,Petrol,Manual,22645,2023
2022 Kia SonetHTX Turbo DCT,Kia,Haryana,920000,Petrol,Automatic,53729,2022
2023 Hyundai Grand i10 NiosSportz,Hyundai,Haryana,600000,Petrol,Manual,10000,2023
2021 Maruti Swift DzireZXI AT BSVI,Maruti,Haryana,675000,Petrol,Automatic,53351,2021
2024 BMW X7xDrive40d M Sport,BMW,Haryana,12800000,Diesel,Automatic,8400,2024
2024 Mahindra XUV 3XOAX5 AT,Mahindra,Haryana,1251000,Petrol,Automatic,12000,2024
2023 Renault TriberRXE BSVI,Renault,Kerala,550000,Petrol,Manual,40000,2023
2018 Volkswagen Ameo1.0 MPI Trendline,Volkswagen,Kerala,437000,Petrol,Manual,21155,2018
2014 Hyundai XcentPetrol,Hyundai,Kerala,370000,Petrol,Manual,20204,2014
2023 Honda ElevateZX,Honda,Kerala,1350000,Petrol,Manual,33580,2023
2021 Volvo XC60Inscription D5,Volvo,Kerala,3500000,Diesel,Automatic,40000,2021
2022 MG Hector2.0 Sharp Pro Diesel BSVI,MG,Kerala,1691000,Diesel,Manual,29536,2022
2021 Renault KigerRXT Turbo,Renault,Kerala,671000,Petrol,Manual,15972,2021
2016 Toyota EtiosG,Toyota,Kerala,459000,Petrol,Manual,20474,2016
2013 Mahindra XUV500W8 2WD,Mahindra,Kerala,250000,Diesel,Manual,100000,2013
2024 Honda AmazeZX CVT,Honda,Kerala,1075000,Petrol,Automatic,8867,2024
2012 Hyundai i10Magna,Hyundai,Kerala,184000,Petrol,Manual,115132,2012
2020 Kia SeltosGTX Plus DCT,Kia,Kerala,1276000,Petrol,Automatic,73030,2020
2016 Honda CitySV MT,Honda,Kerala,619000,Petrol,Manual,73017,2016
2015 Hyundai EOND Lite,Hyundai,Kerala,212000,Petrol,Manual,27144,2015
2016 Renault KWIDRXT,Renault,Kerala,270000,Petrol,Manual,41494,2016
2023 Tata NexonXMA AMT S,Tata,Kerala,881000,Petrol,Automatic,14566,2023
2022 Maruti IgnisDelta,Maruti,Kerala,560000,Petrol,Manual,23369,2022
2015 Honda AmazeS Petrol,Honda,Kerala,220000,Petrol,Manual,137701,2015
2016 Renault KWIDRXT,Renault,Kerala,261000,Petrol,Manual,70913,2016
2015 Honda AmazeS Petrol,Honda,Kerala,380000,Petrol,Manual,75771,2015
2024 BMW i5M60 xDrive,BMW,Delhi,9200000,Electric,Automatic,4017,2024
2024 Land Rover Defender2.0 110 HSE,Land,Delhi,8400000,Petrol,Automatic,8000,2024
2024 Land Rover Defender2.0 l Petrol 110 X-Dynamic HSE,Land,Delhi,11800000,Petrol,Automatic,7900,2024
2022 Tata PunchAdventure,Tata,Delhi,590000,Petrol,Manual,55000,2022
2023 Kia CarensLuxury Plus Turbo DCT 2022-2023,Kia,Delhi,1800000,Petrol,Automatic,20000,2023
2019 Renault KWIDRXL,Renault,Delhi,265000,Petrol,Manual,34000,2019
2018 Maruti SwiftVXI 2018,Maruti,Delhi,480000,Petrol,Manual,48000,2018
2023 Toyota Fortuner4X2 Diesel AT,Toyota,Delhi,3980000,Diesel,Automatic,13000,2023
2025 Hyundai CretaS,Hyundai,Delhi,1570000,Petrol,Manual,3900,2025
2024 Audi Q3Premium Plus,Audi,Delhi,3500000,Petrol,Automatic,10000,2024
2022 Kia CarensLuxury Plus Diesel AT 6 STR BSVI,Kia,Delhi,1395000,Diesel,Automatic,25000,2022
2020 Kia SeltosHTK Diesel,Kia,Delhi,950000,Diesel,Manual,51000,2020
